year,passenger cars,passenger vehicles,goods vehicles,agricultural vehicles,industrial vehicles,motorcycles,mopeds (incl. fast e-bikes)¹
1980,2246752,11087,169402,137685,0,137340,671473
1981,2394455,11122,167846,151238,0,152508,687517
1982,2473318,11341,178313,156631,0,178398,656102
1983,2520610,11255,189920,165332,0,187090,674710
1984,2552132,10853,192708,164078,0,199302,647391
1985,2617164,10771,200537,175161,0,217974,644175
1986,2678911,10800,207014,183689,0,225676,627523
1987,2732720,11027,217750,189984,0,240102,613093
1988,2819548,26869,236649,152693,43519,219987,581270
1989,2895842,29270,241488,157867,44326,261715,551808
1990,2985397,31180,252136,162932,45920,299264,464609
1991,3057798,32968,257646,165571,46938,319779,418251
1992,3091228,34136,256611,169277,47281,336448,381236
1993,3109523,34852,253461,171414,47229,348159,358732
1994,3165042,35676,256285,172300,47373,357252,336367
1995,3229176,36517,262352,174026,47693,370700,317783
1996,3268093,37662,263020,174247,47622,381986,301009
1997,3323455,38508,264200,175689,47743,410750,280467
1998,3383307,39012,267380,176712,47754,435042,265422
1999,3467311,39692,273954,177148,48265,464357,246018
2000,3545247,40260,278518,177963,48949,493781,218932
2001,3629713,41342,285246,179321,49549,521390,199033
2002,3700951,42401,290142,180063,50227,545132,186811
2003,3753890,43629,292329,180295,50795,567358,173486
2004,3811351,44784,298193,180898,50957,583010,165000
2005,3863807,45785,307264,182093,51860,592194,156095
2006,3899917,46445,314020,185450,53437,608648,150563
2007,3955787,48026,324153,184062,55149,619166,144704
2008,3989811,48536,326232,188218,55808,636540,141549
2009,4009602,50675,327808,185902,56533,642777,139220
2010,4075825,52751,335200,186485,58492,651202,139548
2011,4163003,55422,348553,187130,60324,665870,142834
2012,4254725,58278,361926,188358,62219,679822,145984
2013,4320885,60151,371361,189305,63950,687990,147247
2014,4384490,62436,382281,190095,65563,699219,152962
2015,4458069,65720,393598,191132,67101,710022,161292
2016,4524029,69676,405566,192139,68721,720381,176030
2017,4570823,73814,416501,192858,70113,729149,188053
2018,4602688,77985,428808,193283,71683,739344,201423
2019,4623952,83054,440795,193834,74085,744542,211480
2020,4658335,88293,452186,195082,75659,771586,229421
2021,4709366,97805,466857,196530,77672,791323,244572
2022,4721280,105158,475714,196942,79691,789794,257753
2023,4760948,114299,485303,197678,81241,805653,
